"ISBN","Title","Author","Courses","ImageURL","OrigPrice"
"9780312367541","WRINKLE IN TIME","'ENGLE","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/biblioshare_cache/9780312367541.jpg","8.99"
"281108913720B","PHIL 221 CLASSICS OF WESTERN MORAL THEORY *DIST ED","(OLD ED)","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_no_image_available.jpg","23.03"
"281107912860B","PHIL 221 CLASSICS WESTERM MORAL THEORY *VERSION 1.","(OLD ED)","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_no_image_available.jpg","22.97"
"281107912862B","PSYCH 253 DE SUPPLEMENTARY READINGS","(OLD ED)","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_no_image_available.jpg","24.00"
"281108913722B","PSYCH 253 SUPPLEMENTARY READINGS *DIST ED FALL 200","(OLD ED)","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_no_image_available.jpg","24.00"
"281108913724B","RS 180 BOOK OF READINGS *DIST ED FALL 2008*","(OLD ED)","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_no_image_available.jpg","45.37"
"281107912853B","(OLD ED) ENGL 251A BOOK OF READINGS (DISTANCE ED F","(OLD ED) ENGL DEPT","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_no_image_available.jpg","75.58"
"281107112271B","ENGL 251A BOOK OF READINGS (DISTANCE ED W07)","(OLD ED) ENGL DEPT","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_no_image_available.jpg","75.58"
"281106911986B","ENGL 251A BOOK OF READINGS (DISTANCE)","(OLD ED) ENGL DEPT","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_no_image_available.jpg","69.15"
"281108913712B","ENGL 251A BOOK OF READINGS *DIST ED FALL 2008*","(OLD ED) ENGL DEPT","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_no_image_available.jpg","75.58"
"281108113143B","ENGL 251A BOOK OF READINGS DISTANCE ED WINTER 2008","(OLD ED) ENGL DEPT","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_no_image_available.jpg","75.58"
"281107912856B","ENGL 350B BOOK OF READINGS","(OLD ED) ENGL DEPT","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_no_image_available.jpg","29.53"
"281108913713B","ENGL 350B BOOK OF READINGS *DIST ED FALL 2008*","(OLD ED) ENGL DEPT","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_no_image_available.jpg","29.53"
"281109114000B","ENGL 251A BOOK OF READINGS *DIST ED WINTER 2009*","(OLD ED) ENGL DEPT WINTER 2009","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_cover_1091.jpg","75.58"
"281109114002B","O/E - ENGL 109 WEB BOOK OF READINGS *DIST ED WINTE","(OLD ED) ENGL DEPT WINTER 2009","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_cover_1091.jpg","19.39"
"281109114009B","O/E - GER 272 BOOK OF READINGS *DIST ED WINTER 200","(OLD ED) GER DEPT WINTER 2009","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_cover_1091.jpg","12.97"
"281108913719B","PHIL 105 BOOK OF READINGS *DIST ED FALL 2008*","(OLD ED) PHIL DEPT","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_no_image_available.jpg","40.87"
"281109114026B","SOCWK / SWREN 222R BOOK OF READINGS *DIST ED WINTE","(OLD ED) SOCWK DEPT WINTER 2009","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_cover_1091.jpg","53.27"
"281108913710B","CROAT 101 ELEMENTARY CROATIAN 1 *DIST ED FALL 2008","(OLD EDITION)","","https://fortuna.uwaterloo.ca/rs/interchange/cover_images/courseware_no_image_available.jpg","11.82"
